Name,Frequency
'Twelve,1
'Elizebeth,1
Dozen',1
'Eight,1
Silver,1
Dunlop'],1
['English,1
C.,1
'Duniel,1
Being'],1
'Sower,1
Conner'],1
Ale'],1
Pewther',1
Trixie',1
'Hab,1
'Orange,1
Simphon',1
Jerkin',1
'Cracks,1
'Oaken,1
'Saint,1
Barchans,1
['Me,1
Doon'],1
Haenan',1
'Hae,1
Alone',1
'Archer,1
Keen',1
Tailor'],1
['Braid,1
['Jessie,1
Frae'],1
Bawsie',1
'Weel,1
Drumnaheath',1
Hill,1
'Acre,1
Cuddie'],1
Lutter',1
'Mell,1
Feld'],1
['Mallinger,1
Fair',1
Straik',1
Roy'],1
Berwick',1
Richardson'],1
Rest'],1
Aikman',1
'Closs,1
Cowgate'],1
Geils',1
Richard-',1
Park'],1
'Blue,1
Shall',1
'Waterton,1
'May,1
Griffin',1
Linklater',1
'Steven,1
Rutherford',1
Barry',1
'HENRY,1
ERSKINE'],1
Peggie'],1
"""Euphan",1
DICKSON',1
Canaan',1
['Roslin,1
Perils'],1
Scepter',1
Alaster',1
STEWART',1
Caledon',1
['Mill,1
Mar',1
['Strath,1
Charming'],1
['Habbie,1
Desperaudum',1
Nil,1
'Filippo,1
Testti',1
"""Charlos",1
'Club,1
Petrice',1
Barleycorn',1
Drysdale'],1
'Park,1
Kempt',1
"M'Calzeane""",1
Blades',1
Rattling,1
Militia,1
'Camlachie,1
Rule',1
Guthrie',1
Annie',1
'Christopher,1
Hutton',1
'Princes,1
Sister,1
Megg'],1
Scottish'],1
Lawries,1
Scots'],1
['W,1
Dog',1
['Mong,1
Scotlan'],1
Puppil',1
Britain'],1
'Counts,1
Crombie',1
'Baillie,1
'Lenox,1
Swine',1
'Ugley,1
George',1
'Bloody,1
Mackalaster',1
Pitcairns'],1
['Alaster,1
['Village,1
Wanton',1
'Wester,1
Pamphlets'],1
Mainses',1
Articles,1
'Miln,1
Came',1
Hugh,1
Boge',1
'Earl,1
Kaye',1
'Rin,1
['Six,1
Centuries',1
Sourkail',1
Harold',1
Villa',1
'Edgely,1
'Whaur,1
Ruin',1
Rodgor',1
Success',1
'Noble,1
'Immense,1
Race',1
Muldoon',1
PETTIGREW',1
Pour'],1
Loch'],1
'Kalaslie,1
['MR.,1
'Plaidie,1
State'],1
Turk'],1
'Rare,1
Assent',1
Beds'],1
'Pearled,1
Highland,1
['Sterling,1
Coin',1
Castles',1
['Silken,1
Pœbus'],1
['Ere,1
Ill'],1
'Forge,1
'Joy,1
Paper'],1
'Borrows,1
'Magnifick,1
Fishings',1
'Gledswood,1
['Larry,1
Highlander'],1
Banke'],1
['Peaties,1
Peatie'],1
'Loch,1
Turks',1
Fegan',1
['Christian,1
'Mount,1
'Fame,1
Caivary'],1
Reoch'],1
Art',1
Lyes'],1
'Gross,1
Names',1
'Stately,1
Works,1
Ballantyne',1
Royston',1
'Craig,1
Frasers',1
'Er,1
'Drink,1
Watter'],1
Dobbie',1
'Anld,1
Buchanan'],1
'Patricks,1
Sauts',1
'Breath,1
Delgeess',1
Put',1
"""Turk",1
"M'cleods""",1
['Agnes,1
Bauldy,1
Jack',1
['Blyth,1
Stiven',1
['Scotland,1
'Henrys,1
Jessie',1
'Jockie,1
'Oor,1
Winter',1
'Gloomy,1
Child',1
Mother'],1
'Glenlivet,1
Yarrow'],1
Tho',1
Port',1
Dool',1
Face',1
'Mansie,1
Wauch'],1
Davidson'],1
Cow',1
Reikie',1
'Beans,1
Oh,1
['Lundin,1
Adamsoforgery',1
Path,1
Deveron',1
Closs'],1
"""Jessie",1
'Abbey,1
Governour',1
'Nicol,1
Musker',1
Heatly',1
Raybould',1
'Bartholomew,1
'Smith,1
Poverty',1
Caddel',1
Widow,1
Gadesbey',1
Guts',1
"M'Ullan""",1
Drons',1
Havies,1
Farlune',1
MKay',1
Provosts'],1
Lisle,1
"M'Keohnie""",1
Ballade',1
"""Malcolm",1
Auncient,1
['Ane,1
Jenny'],1
'Dishelout,1
Happiest',1
Road,1
'Denis,1
'Jehn,1
"M'Feat""",1
Ste',1
Duffy',1
Templeton',1
Stenson'],1
'Bleeching,1
['Bleaching,1
['Bastard,1
Lyle',1
'Rabbie,1
Maxwell'],1
Marshal,1
Culprits',1
'Bishop,1
Fudrich',1
Murdoch'],1
Newal',1
Newalor,1
Carl',1
"M'Clure""]",1
Thompson'],1
'Carse,1
Mare',1
Murder'],1
"M'Donald""]",1
'Gray,1
Targ',1
'Snuff,1
"Pa'erson""",1
'City,1
'Mrss,1
Sempill',1
['Dick,1
Eastlingtoun',1
Hounds',1
Petrie'],1
East',1
Clough,1
'Wodden,1
['Flora,1
['Bailies,1
Wives'],1
Police',1
Turpin'],1
'Oyster,1
'Wretch,1
Tearlech',1
['Allan,1
Gilfillan'],1
['Bridget,1
Ennis',1
Pati',1
'Toag,1
King'],1
'Pray,1
Sibbald'],1
Hynman',1
'Margret,1
Leitch',1
['Hand,1
'Sheriff,1
Depute',1
Finnie',1
'Sootch,1
Skins',1
'Marjory,1
'Jonat,1
Grow',1
['Pitts,1
Lnng',1
Naismith',1
Anchor',1
Jeannie,1
Morison',1
['Throw,1
'Arahibald,1
Europe',1
Cat,1
'Necks,1
Franks'],1
Cowns',1
['Teir,1
Seat'],1
'Wearing,1
Apparel',1
Dogherty'],1
['Thomus,1
Conner',1
['Perth,1
Deans',1
'Aberdeen,1
Cæsar'],1
'Principal,1
Taylor'],1
Long',1
['Geordie,1
'Reference,1
Foyers',1
Island'],1
['Busy,1
Baken'],1
['Quiet,1
Zephyres',1
['Annie,1
'Letter,1
Prese,1
Printing'],1
Her'],1
['Letterpress,1
Printing',1
Dinah',1
Songs'],1
Lee'],1
['Brought,1
Ferry'],1
ED'],1
Cupid'],1
Orders'],1
['Lassie,1
['Gordon,1
'Betsy,1
['Chrlie,1
Mash'],1
['Diana,1
Kitty,1
'Curious,1
Jonny',1
Johny',1
Function',1
'Months,1
Age',1
'Through,1
Ghostly,1
Skill',1
Scabbard,1
Salted'],1
Algie',1
II',1
['Pious,1
SHARP',1
Sacred,1
