,name,time
2495,Massrs Love,1
2512,Extending Light,1
2496,Oor Burns,1
2497,Mr. Stirling,1
2498,William Leslie,1
1832,Sovereign Lady,1
2500,John Bowman,1
2501,Cruel Death,1
2502,Thomas Turner,1
2503,Doctor William Mitchell,1
1831,Dead Corps,1
2504,James McMillan,1
2505,JOHN AUDOUIN,1
2506,Ten Command,1
2507,Andrew Crawford Master,1
2508,Caledon Wi,1
2509,David Wylle,1
2510,David Mullin,1
2511,Must Affection,1
2467,Alexander Gordon,1
2466,Gracia Rex Scotorum,1
2465,Hallay Bacche,1
2414,Edinnburgh RICHARD CAMOPBELL,1
2417,Sandy Sourkail,1
2418,Grove Street,1
2419,William Ainslie,1
2420,Loves Raptures,1
2421,Mattie Broon,1
2422,Soveraign Majestie,1
2423,Pallas Wife,1
1862,Anderson Coachman,1
1861,Richard Brodie,1
1860,Miss Fanny,1
2424,Catherine Frank,1
1859,Patricks Sauts,1
2425,Ancient Burgh,1
2426,Andrew Adamson,1
2427,Peter Vdlldnce,1
2428,O Scotia,1
2429,Where Tam,1
2416,ROBERT ANDERSON,1
2288,Mary Connor,1
2464,Captain Adolphus Fitzclarence,1
2412,Marion Lamond,1
1869,Julias Cæsar,1
1868,Lord Nicholson,1
1867,Mathew Turhbull,1
1866,Kilkerran House,1
2401,Robert Moran,1
2402,Royal Arcade,1
2403,First Fear,1
2404,Fifty Turkish,1
1865,Red Rose,1
2405,Edinburgh Thief,1
2406,Ugley Swine,1
1864,Master Duncan,1
1863,John Grafs,1
2408,Whose Sex,1
2409,Bonny Meg,1
2410,Paisley Road,1
2411,Evan MacPherson,1
2430,St Andrew,1
2431,Janet Blackwood,1
2432,Roger Haldon,1
2433,Faithful Account,1
1852,Jhon Gibson,1
2450,Splendid Establishment,1
2451,James Donelly,1
2452,Dennis Docherty,1
2453,Lower Exchange Street Dublin,1
2454,George Laidlaw,1
2455,Alexander Don Lady Harriet Don Miss Don,1
2456,Scots Came,1
2457,English Andrew,1
2458,HENRY ERSKINE,1
1850,Geordie More,1
2459,Alison Pearson,1
2460,Mary M'Adam,1
2461,Cookand Collier,1
2462,Person Should,1
1849,Hogen Mogon,1
2463,Mary Neil Printed,1
2449,Brave Chiesly,1
2448,Mr. Sparrow,1
1853,Nelly Brown,1
2440,Robert Tait,1
2434,Gavan Arbackle,1
1858,Daily Labour,1
2435,Elspeth Rule,1
2436,Elizabeth Wilson,1
2437,Brandie Possits,1
2438,Whilst Christ,1
2439,Wodden Clough The East,1
1857,Bailie Bullhead,1
2446,Lord Chamberlain,1
2441,James Miller,1
1856,John McDougal,1
2442,Puir Sowl,1
2443,Dickson Mrs Dickson Captain Don Captain Dalrymple,1
2444,Dame Nature,1
2445,Square Heads,1
1855,Cause Megg,1
2289,Martin Horn,1
2269,Hugh Alston,1
2287,Mr. Aikman,1
2096,James Coats,1
2097,John Beck,1
2098,Quinten Kerr,1
1970,Till Englend,1
2099,Tory 'gree,1
2100,Old England,1
2102,Margaret Harley,1
2103,Both Trixie,1
1969,Filippo Testti,1
2104,Ann Humer,1
2106,Sometimes Fools,1
2107,Lord Meadow,1
2108,Pointed Decreets,1
2109,Alexander Gillan,1
2110,Satin Gown,1
1967,John Cray,1
2112,Daniel Craig,1
2113,Volunteer Sir,1
1971,Lord Melbourne,1
2095,Molly Astore Donald,1
2116,Sir Tammas Lauder Dick,1
1972,Old Mill Stream,1
1983,Mathew Baird,1
1982,James Hannah,1
2083,Maggie Dickson,1
1980,Peggie Bawn,1
2085,Whan Spouse,1
1978,Kempock Point,1
1977,John M'Aulay,1
2086,Princcs Strect,1
2087,Miss Stewart,1
2088,Fisher Street,1
1976,Singular Circumstsnce Which,1
1975,Lenox House,1
2090,Hugh O'Donnell,1
2091,So Mary,1
2092,Mill Lass,1
2093,Thomos Riddell,1
1973,Sandy M'Toysh,1
2115,Bonnie Jeannie Shaw Anchor,1
2117,James Graliam,1
2081,Janet Shepherd,1
2136,Exit TAMMY—overturning,1
2137,Make Works,1
1960,Barbara Dick,1
1959,Newton De Besrie,1
2139,William Cowan,1
2140,Rooms Square,1
2141,Which Arthur,1
2142,John Carfrae,1
2143,Hunter Gutbrie,1
2144,William M'Aulay,1
2145,Mobb Huzza,1
2146,Thou Prop,1
2147,Henry Ousley,1
1958,Bailies Crichton,1
2148,Quoth Peching,1
2149,Rob Forbes,1
2150,Patrick Lawrie,1
2151,Robert Glen,1
1961,Whaur Wallace,1
2135,David Spence,1
2118,Jean Brisbane,1
1962,James Dogherty,1
2119,Lundin Mill,1
1966,Frederick Morgan,1
2121,FREDERICK W. MORRIS,1
2122,Valiant SIR,1
2123,Miln Boge,1
2125,John Con,1
2126,James Cow,1
1965,Mourin Shore Girvan Fair My Little,1
1964,Richard Neale,1
1963,Captain Monro,1
2128,Miss Kelly,1
2129,Thrang W,1
2130,Thy Influence,1
2131,Tom Moore,1
2132,See Johnson,1
2133,Against Turk,1
2134,Mr. Moodie,1
2082,William Green,1
2080,Holy Rest,1
1957,Throw Winters Night,1
2030,Forge Paper,1
2032,James Spirtal,1
2033,Hankie Pankie Jim,1
2035,Macallum Mhor,1
2036,William Craig,1
2038,Saw Captain Monro,1
2039,Thy Seed,1
2040,Margaret Nellis,1
2041,Sir W. Williams,1
2042,William Petrie,1
2043,John Calinan,1
2003,George Williamson,1
2044,Thomas Campbell,1
2045,Scots Lads,1
2046,Eliza Hildyard,1
2047,Lady G.,1
2048,Captain Brown,1
2002,Barbara Lawrie,1
2031,Sticked Duke Hamiltoun,1
2004,Doneld M'Naught,1
2000,Twelve Pound,1
2005,Fancy Gards,1
2013,James Cunningham,1
2016,Wood Charming,1
2012,John Scot,1
2011,Jenny Nettles,1
2009,Sir William Murray,1
2019,Madge M'Kell,1
2020,Wee Gaordie More,1
2021,William Erskine Commodore Elliot Miss Earl,1
2008,John Tait,1
2022,Henry Hunt,1
2007,Mill Glen,1
2023,Linton Lairds,1
2024,Mr. Hoar,1
2025,Mrs M,1
2026,George Douglas,1
2027,James Hunter Blair,1
2028,Scotch Sandy,1
2049,Lauder Dick,1
1999,Michael Allan,1
2079,Mrs Yule,1
1989,William Lindsay,1
2067,Daniel Kelly,1
2068,Tarn M'Bride,1
1988,Likewise Peas,1
2069,Niddry Street,1
2070,Thomas Newman,1
2071,Good God,1
1987,Where Loyal Hearts,1
2072,James Newton,1
2073,Mr. Bernard,1
2074,Mr. Neilson,1
2075,Rabbie Lyle,1
2076,Tom Lutter,1
1986,Mr. Robert Monteith,1
1985,My Wife,1
1984,My Thought,1
2077,Robert Stevenson,1
2078,William Swan,1
